mfg,group,sub-group,product_line,product_number,description,url
Halyard Health,Medical Exam Gloves,Nitrile,STERLING ZERO* Nitrile Exam Glove,47459,"Size:X-Small, Brand:STERLING ZERO*, Color:Sterling, Name:STERLING ZERO* Nitrile Exam Glove, Dispenser:SMARTPULL*, Cleared for Use with Chemotherapy Drugs:Yes, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :1.0 AQL, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:No, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.10 mm 3.9 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  550%; After Aging:  500%, Tensile Strength:Before Aging:  24 MPa; After Aging:  21 MPa, Texture Status:Textured Fingertips, Fit Type:Ambidextrous",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/sterling-zero-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,STERLING ZERO* Nitrile Exam Glove,47460,"Size:Small, Brand:STERLING ZERO*, Color:Sterling, Name:STERLING ZERO* Nitrile Exam Glove, Dispenser:SMARTPULL*, Cleared for Use with Chemotherapy Drugs:Yes, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :1.0 AQL, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:No, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.10 mm 3.9 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  550%; After Aging:  500%, Tensile Strength:Before Aging:  24 MPa; After Aging:  21 MPa, Texture Status:Textured Fingertips, Fit Type:Ambidextrous",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/sterling-zero-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,STERLING ZERO* Nitrile Exam Glove,47461,"Size:Medium, Brand:STERLING ZERO*, Color:Sterling, Name:STERLING ZERO* Nitrile Exam Glove, Dispenser:SMARTPULL*, Cleared for Use with Chemotherapy Drugs:Yes, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :1.0 AQL, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:No, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.10 mm 3.9 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  550%; After Aging:  500%, Tensile Strength:Before Aging:  24 MPa; After Aging:  21 MPa, Texture Status:Textured Fingertips, Fit Type:Ambidextrous",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/sterling-zero-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,STERLING ZERO* Nitrile Exam Glove,47462,"Size:Large, Brand:STERLING ZERO*, Color:Sterling, Name:STERLING ZERO* Nitrile Exam Glove, Dispenser:SMARTPULL*, Cleared for Use with Chemotherapy Drugs:Yes, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :1.0 AQL, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:No, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.10 mm 3.9 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  550%; After Aging:  500%, Tensile Strength:Before Aging:  24 MPa; After Aging:  21 MPa, Texture Status:Textured Fingertips, Fit Type:Ambidextrous",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/sterling-zero-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,STERLING ZERO* Nitrile Exam Glove,47463,"Size:X-Large, Brand:STERLING ZERO*, Color:Sterling, Name:STERLING ZERO* Nitrile Exam Glove, Dispenser:SMARTPULL*, Cleared for Use with Chemotherapy Drugs:Yes, Expected Exposure to Fluids or Chemicals:Low to High, Acceptable Quality Level (AQL) :1.0 AQL, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, NFPA 1999-2013 Certified:No, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuffed and Walleted:No, Cuff:Beaded Cuff, Glove Length:9.5 in., Gauge Thickness Middle Fingertip:.10 mm 3.9 mil, Gauge Thickness Palm :.07mm 2.8 mil, Ultimate Elongation:Before Aging:  550%; After Aging:  500%, Tensile Strength:Before Aging:  24 MPa; After Aging:  21 MPa, Texture Status:Textured Fingertips, Fit Type:Ambidextrous",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/sterling-zero-nitrile-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,PURPLE NITRILE-XTRA* Exam Glove,14259,"Size:X-Small, Fit Type:Paired, Sterile:Yes, Cuffed and Walleted:Yes, Brand:PURPLE NITRILE-XTRA*, Brand:HALYARD*, Color:Purple, Name:PURPLE NITRILE-XTRA* Exam Glove, Sterile Options Available:Yes, Cleared for Use with Chemotherapy Drugs:Yes, Expected Exposure to Fluids or Chemicals:Moderate to High, Acceptable Quality Level (AQL) :Meets or Exceeds, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Cuff:Beaded Cuff, Glove Length:12 in., Gauge Thickness Middle Fingertip:.15mm 5.9 mil, Gauge Thickness Palm :.12mm 4.7 mil, Ultimate Elongation:Before Aging:  550%; After Aging:  500%, Tensile Strength:Before Aging:  21 MPa; After Aging:  21 MPa, Texture Status:Textured Fingertips, Weight:Heavy-Weight",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/purple-nitrile-xtra-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,PURPLE NITRILE* MAX Exam Glove,44992,"Size:Small, Brand:PURPLE NITRILE*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Purple, Name:PURPLE NITRILE* - MAX Exam Glove, Expected Exposure to Fluids or Chemicals:High, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Glove Length:16 in., Texture Status:Textured Fingertips and Palms, Weight:Heavy-Weight, Fit Type:Ambidextrous, Boxes Per Case:8, Quantity Per Box:50 Singles, Total Quantity per Case:400",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/purple-nitrile-max-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,PURPLE NITRILE* MAX Exam Glove,44993,"Size:Medium, Brand:PURPLE NITRILE*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Purple, Name:PURPLE NITRILE* - MAX Exam Glove, Expected Exposure to Fluids or Chemicals:High, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Glove Length:16 in., Texture Status:Textured Fingertips and Palms, Weight:Heavy-Weight, Fit Type:Ambidextrous, Boxes Per Case:8, Quantity Per Box:50 Singles, Total Quantity per Case:400",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/purple-nitrile-max-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,PURPLE NITRILE* MAX Exam Glove,44994,"Size:Large, Brand:PURPLE NITRILE*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Purple, Name:PURPLE NITRILE* - MAX Exam Glove, Expected Exposure to Fluids or Chemicals:High, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Glove Length:16 in., Texture Status:Textured Fingertips and Palms, Weight:Heavy-Weight, Fit Type:Ambidextrous, Boxes Per Case:8, Quantity Per Box:50 Singles, Total Quantity per Case:400",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/purple-nitrile-max-exam-glove.html
Halyard Health,Medical Exam Gloves,Nitrile,PURPLE NITRILE* MAX Exam Glove,44995,"Size:X-Large, Brand:PURPLE NITRILE*, Brand:HALYARD*, UNSPSC Classification:42132203, Color:Purple, Name:PURPLE NITRILE* - MAX Exam Glove, Expected Exposure to Fluids or Chemicals:High, ASTM D5151 Test Standards:Meets or Exceeds, ASTM D6319 Test Standards:Meets or Exceeds, Biocompatibility-ISO Standard for Primary Skin Irritation & Sensitivity :Meets or Exceeds, Material:Nitrile, Powder Free:Yes, Natural Rubber Latex-Free:Yes, Glove Length:16 in., Texture Status:Textured Fingertips and Palms, Weight:Heavy-Weight, Fit Type:Ambidextrous, Boxes Per Case:8, Quantity Per Box:50 Singles, Total Quantity per Case:400",https://products.halyardhealth.com/infection-prevention/medical-exam-gloves/nitrile/purple-nitrile-max-exam-glove.html
